original_hk_gene_id	mapping_status	candidate_ids	candidate_count	local_gene_biotype	api_release	api_latest	api_is_current	api_request_status	notes
ENSPTRG00000006848	candidate_not_in_local_release115_gtf	ENSPTRG00000006848	1		90	ENSPTRG00000006848.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007014	candidate_not_in_local_release115_gtf	ENSPTRG00000007014	1		64	ENSPTRG00000007014.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007303	candidate_not_in_local_release115_gtf	ENSPTRG00000007303	1		90	ENSPTRG00000007303.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007399	candidate_not_in_local_release115_gtf	ENSPTRG00000007399	1		64	ENSPTRG00000007399.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007511	candidate_not_in_local_release115_gtf	ENSPTRG00000007511	1		90	ENSPTRG00000007511.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007539	candidate_not_in_local_release115_gtf	ENSPTRG00000007539	1		64	ENSPTRG00000007539.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007541	candidate_not_in_local_release115_gtf	ENSPTRG00000007541	1		90	ENSPTRG00000007541.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007623	candidate_not_in_local_release115_gtf	ENSPTRG00000007623	1		90	ENSPTRG00000007623.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007697	candidate_not_in_local_release115_gtf	ENSPTRG00000007697	1		64	ENSPTRG00000007697.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007715	candidate_not_in_local_release115_gtf	ENSPTRG00000007715	1		90	ENSPTRG00000007715.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007727	candidate_not_in_local_release115_gtf	ENSPTRG00000007727	1		90	ENSPTRG00000007727.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007891	candidate_not_in_local_release115_gtf	ENSPTRG00000007891	1		90	ENSPTRG00000007891.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000007946	candidate_not_in_local_release115_gtf	ENSPTRG00000007946	1		90	ENSPTRG00000007946.6		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008006	candidate_not_in_local_release115_gtf	ENSPTRG00000008006	1		90	ENSPTRG00000008006.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008027	candidate_not_in_local_release115_gtf	ENSPTRG00000008027	1		64	ENSPTRG00000008027.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008193	candidate_not_in_local_release115_gtf	ENSPTRG00000008193	1		90	ENSPTRG00000008193.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008213	candidate_not_in_local_release115_gtf	ENSPTRG00000008213	1		64	ENSPTRG00000008213.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008247	candidate_not_in_local_release115_gtf	ENSPTRG00000008247	1		90	ENSPTRG00000008247.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008485	candidate_not_in_local_release115_gtf	ENSPTRG00000008485	1		90	ENSPTRG00000008485.5		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008498	candidate_not_in_local_release115_gtf	ENSPTRG00000008498	1		64	ENSPTRG00000008498.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008522	candidate_not_in_local_release115_gtf	ENSPTRG00000008522	1		90	ENSPTRG00000008522.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008589	candidate_not_in_local_release115_gtf	ENSPTRG00000008589	1		64	ENSPTRG00000008589.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008622	candidate_not_in_local_release115_gtf	ENSPTRG00000008622	1		90	ENSPTRG00000008622.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008654	candidate_not_in_local_release115_gtf	ENSPTRG00000008654	1		64	ENSPTRG00000008654.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008813	candidate_not_in_local_release115_gtf	ENSPTRG00000008813	1		64	ENSPTRG00000008813.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008835	candidate_not_in_local_release115_gtf	ENSPTRG00000008835	1		64	ENSPTRG00000008835.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008913	candidate_not_in_local_release115_gtf	ENSPTRG00000008913	1		64	ENSPTRG00000008913.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000008928	candidate_not_in_local_release115_gtf	ENSPTRG00000008928	1		90	ENSPTRG00000008928.1		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009075	candidate_not_in_local_release115_gtf	ENSPTRG00000009075	1		64	ENSPTRG00000009075.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009218	candidate_not_in_local_release115_gtf	ENSPTRG00000009218	1		90	ENSPTRG00000009218.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009250	candidate_not_in_local_release115_gtf	ENSPTRG00000009250	1		64	ENSPTRG00000009250.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009298	candidate_not_in_local_release115_gtf	ENSPTRG00000009298	1		64	ENSPTRG00000009298.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009366	candidate_not_in_local_release115_gtf	ENSPTRG00000009366	1		64	ENSPTRG00000009366.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009415	candidate_not_in_local_release115_gtf	ENSPTRG00000009415	1		90	ENSPTRG00000009415.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009426	candidate_not_in_local_release115_gtf	ENSPTRG00000009426	1		90	ENSPTRG00000009426.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009585	candidate_not_in_local_release115_gtf	ENSPTRG00000009585	1		64	ENSPTRG00000009585.3		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009599	candidate_not_in_local_release115_gtf	ENSPTRG00000009599	1		90	ENSPTRG00000009599.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009703	candidate_not_in_local_release115_gtf	ENSPTRG00000009703	1		64	ENSPTRG00000009703.2		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009720	candidate_not_in_local_release115_gtf	ENSPTRG00000009720	1		64	ENSPTRG00000009720.4		success	Archive candidate was not found in the local Ensembl 115 GTF
ENSPTRG00000009749	candidate_not_in_local_release115_gtf	ENSPTRG00000009749	1		64	ENSPTRG00000009749.2		success	Archive candidate was not found in the local Ensembl 115 GTF
